Universidad,Ciudad,Año de Fundación,Rector,Descripción,Número de Estudiantes,Tipo,DBpedia_URI
Escuela Superior de Música Reina Sofía,Madrid,Desconocido,Desconocido,"La Escuela Superior de Música Reina Sofía es un conservatorio privado español fundado en Madrid por Paloma O'Shea en 1991. La Escuela es un programa de la Fundación Albéniz. Lleva el nombre de su Presidenta de Honor, la Reina Sofía.",150,Desconocido,http://dbpedia.org/resource/Reina_Sofía_School_of_Music
Universidad de La Coruña,La Coruña,Desconocido,http://dbpedia.org/resource/Julio_Abalde,"La Universidad de La Coruña (en gallego y oficialmente Universidade da Coruña) es una universidad pública española con campus en La Coruña (Oleiros, Maestranza, Elviña, Zapateira, Bastiagueiro, Oza y Oleiros) y Ferrol (Esteiro y Serantes). Fue creada en 1989.​​​ La Universidad de La Coruña imparte, entre otras, las carreras de Biología, Ciencias Económicas y Empresariales, Derecho, Filología, Ciencias de la Educación, Sociología , Ingeniería Industrial, Ingeniería Eléctrica, Ingeniería Electrónica Industrial y Automática, Ingeniería Naval y Oceánica, Arquitectura, Podología, Fisioterapia, Enfermería, Ingeniería de Caminos, Canales y Puertos, Ingeniería Náutica y Transporte Marítimo, Ingeniería Marina, Química e Ingeniería Informática. Asimismo también imparte dobles grados tales como el de Derecho y Administración y Dirección de Empresas y programas de simultaneidad de grado, como el de Biología y Química. Cuenta con residencias de estudiantes públicas en los campus de Ferrol y La Coruña.",16847,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_A_Coruña
Universidad de Granada,Granada,Desconocido,http://dbpedia.org/resource/Pilar_Aranda_Ramírez,"La Universidad de Granada (UGR) es una universidad pública española con sede en Granada y con campus en las ciudades de Granada, Ceuta y Melilla. Es la cuarta universidad de España por número de estudiantes, miembro del Grupo Coimbra, de la Asociación Universitaria Iberoamericana de Postgrado y el ​ La Universidad de Granada fue fundada oficialmente en 1531 por Carlos I de España. Por tanto, tiene casi quinientos años de historia y es considerada por ello como una de las universidades históricas de España.​ La Universidad de Granada se sitúa entre las diez primeras de España​​ y desde hace varios años ocupa el primer puesto en los estudios de traducción e interpretación, impartiendo docencia de lenguas tales como el portugués, italiano, danés, neerlandés, checo, polaco, rumano, búlgaro, ruso, griego moderno, hebreo, árabe o turco, y albergando además el único Centro Ruso​ que la Fundación Russkiy Mir mantiene en España. A nivel mundial, es una de las cincuenta mejores universidades en ingeniería informática y una de las cien primeras en matemáticas.​ La UGR es desde hace varios años la primera universidad europea en recepción y envío de estudiantes en el programa Erasmus ""tradicional"" de movilidad europea, en tanto que en el nuevo programa Erasmus+ es líder a nivel nacional, con alrededor de 5000 movilidades anuales concedidas. Todo ello hace que sea el primer destino europeo dentro de este programa de movilidad.8 Además, ha sido seleccionada como una de las mejores universidades españolas por los estudiantes internacionales en la edición 2016 de Study Portals International. La investigación universitaria granadina es la mejor del sur de España, una de las tres mejores a nivel nacional y se mantiene por tercer año consecutivo entre las 300 mejores universidades del mundo, según la clasificación del Ranking Académico de las Universidades del Mundo (ARWU) También es la primera universidad española en ayuda oficial al desarrollo.​",60000,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Granada
Universidad Isabel I,Burgos,2008,Desconocido,"La Universidad Isabel I de Castilla es una universidad privada, a distancia, con sede central en la ciudad española de Burgos, con una sede en Valladolid y otra en Miranda de Ebro. La oferta docente consta de grados y másteres oficiales online, además de títulos propios de posgrado y escuela de idiomas, todo adaptado al Espacio Europeo de Educación Superior. Es la primera universidad española y la segunda en Europa en ofrecer los grados de Ciencias de la Actividad Física y del Deporte (CAFD) y Nutrición Humana y Dietética de manera semipresencial.​",8000,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Universidad_Isabel_I
Universidad de Extremadura,Plasencia,1973,http://dbpedia.org/resource/Segundo_Píriz_Durán,"La Universidad de Extremadura​ (UEx) es una universidad pública con rectorado en la ciudad de Badajoz (Comunidad Autónoma de Extremadura, España) fundada en 1973.​ Es la única universidad de la comunidad autónoma, con dos campus, en Cáceres y , y dos centros universitarios en Plasencia y Mérida. En el curso 2020-21 ha contado con 20 509 alumnos matriculados.​ Junto a las universidades de Cantabria, Castilla-La Mancha, Islas Baleares, La Rioja, Navarra, Oviedo, País Vasco y Zaragoza, forma el Grupo 9 de Universidades.",Desconocido,http://dbpedia.org/resource/Public_University,http://dbpedia.org/resource/University_of_Extremadura
Universidad CEU San Pablo,Madrid,1993,Desconocido,"La Universidad CEU San Pablo​ es una universidad española privada y católica, con sede en Madrid y campus en Madrid y Alcorcón.​ Sus valores se rigen por el ideario de la Iglesia católica y el denominado humanismo cristiano.",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Universidad_CEU_San_Pablo
Universidad Europea de Canarias,La Orotava,2012,Desconocido,"La Universidad Europea de Canarias​ (UEC) es la primera​ institución de educación superior privada de las Islas Canarias​ (España). Comenzó su actividad en octubre de 2012, teniendo su sede en el municipio de La Orotava (Santa Cruz de Tenerife)​ y próximamente en Santa Cruz de Tenerife.",Desconocido,http://dbpedia.org/resource/Private_university,http://dbpedia.org/resource/Universidad_Europea_de_Canarias
Universidad de Huelva,Huelva,Desconocido,Desconocido,"La Universidad de Huelva (UHU) es una universidad pública española de la provincia homónima con facultades en las localidades de Huelva y Palos de la Frontera, en su sede de La Rábida. Se encuentra incluida en el campus de excelencia internacional.​",Desconocido,http://dbpedia.org/resource/Public_university,http://dbpedia.org/resource/University_of_Huelva
Universidad Católica San Antonio de Murcia,Murcia,Desconocido,Desconocido,"La Universidad Católica San Antonio, conocida también como Universidad Católica de Murcia (UCAM), es una universidad privada, católica, ubicada en Guadalupe, pedanía del municipio de Murcia (España). Es propiedad de la Fundación Universitaria San Antonio (cuyo presidente es José Luis Mendoza)​ y que, al igual que la universidad, lleva el nombre de su patrón: San Antonio de Padua.",10580,Desconocido,http://dbpedia.org/resource/Universidad_Católica_San_Antonio_de_Murcia
Universidad de Almería,Almeria (Nebraska),Desconocido,Desconocido,"La Universidad de Almería (UAL) es una universidad pública española ubicada en la provincia de Almería. Se encuentra situada a orillas del mar Mediterráneo, en el barrio de La Cañada de San Urbano, a 2 km al este de la ciudad de Almería. Fue fundada en 1993 por la ley 3/1993, de 1 de julio.​ y hoy día cuenta con aproximadamente 12.000​ estudiantes. De sus aulas han salido alrededor de 45.000 egresados desde su creación; titulados que han contribuido considerablemente al despegue económico, social y cultural de la provincia de Almería. Con algo más de un cuarto de siglo de historia, la UAL ha crecido de modo acelerado, convirtiéndose en una de las principales universidades de España en investigación y transferencia de conocimiento en campos como la agroalimentación y el medio ambiente. La UAL se constituye como una de las universidades más jóvenes de Andalucía. Con un campus interdisciplinar ubicado a la orilla del mar, la UAL se sitúa estratégicamente entre dos de los principales elementos de identidad de la provincia: hacia el oeste y a escasos kilómetros, la comarca del Poniente donde se concentran buena parte de las explotaciones hortícolas, uno de los principales motores de la economía almeriense y, hacia el este, el Parque Natural Cabo de Gata-Níjar, enclave que simboliza la riqueza medioambiental de la provincia. Profundamente comprometida con su entorno, la UAL ofrece a la sociedad un abanico de titulaciones estrechamente vinculadas con las necesidades de diversos sectores productivos. La UAL no solo es reconocida por su implicación con la innovación y calidad docente y por su vocación científica y emprendedora, sino también por su clara apuesta por la digitalización, la internacionalización, la sostenibilidad, la igualdad y la inclusión como ejes estratégicos complementarios. El presupuesto obtenido para el 2020 alcanzó los 103.460.258,31 €.",11825,Desconocido,http://dbpedia.org/resource/University_of_Almería
